region,parent,hierarchy
China (R12),World,region (R12)
R12_CHN,World,region (R12)
Rest of Centrally planned Asia (R12),World,region (R12)
R12_RCPA,World,region (R12)
Former Soviet Union (R12),World,region (R12)
R12_FSU,World,region (R12)
Latin America (R12),World,region (R12)
R12_LAM,World,region (R12)
Middle East and Africa (R12),World,region (R12)
R12_MEA,World,region (R12)
South Asia (R12),World,region (R12)
R12_SAS,World,region (R12)
Pacific Asia (R12),World,region (R12)
R12_PAS,World,region (R12)
Western Europe (R12),World,region (R12)
R12_WEU,World,region (R12)
Eastern Europe (R12),World,region (R12)
R12_EEU,World,region (R12)
Pacific OECD (R12),World,region (R12)
R12_PAO,World,region (R12)
Subsaharan Africa (R12),World,region (R12)
R12_AFR,World,region (R12)
North America (R12),World,region (R12)
R12_NAM,World,region (R12)
GLB region (R12),World,region (R12)
R12_GLB,World,region (R12)
